"","IDLink","Title","Headline","Source","Topic","PublishDate","SentimentTitle","SentimentHeadline","Facebook","GooglePlus","LinkedIn","status","Hour"
"11",32381,"How an overlooked impact of Mexico's drug violence is holding back ...","The human costs of the drug war and related violence are well-known, but the chilling effect on Mexico's economic vitality has been harder to measure.","Business Insider","economy","2016-03-18 16:36:29",0.179022360843047,-0.171601618245911,25,1,10,"private",16
"12",87499,"Obama alum group: Congressional recess 'disaster' for GOP on ...","The leading outside group of Obama alums campaigning for Judge Merrick Garland's Supreme Court confirmation claimed in a report out","Politico","obama","2016-04-01 11:54:07",0.0416666666666667,0.195655948031232,120,2,0,"private",11
"13",96910,"Faithfully Executed: Obama's Immigration Plan and the Supreme Court","Texas, a lawsuit brought by twenty-six states challenging President Obama's immigration policies. The case deals specifically with the","Huffington Post","obama","2016-05-16 18:55:21",0.34375,-0.114707866935281,75,3,4,"private",18
"14",62433,"Obama, speaking from the ruins of his own policy","So what has been President Obama's response to a series of Islamic State terrorist attacks """""" a Russian plane in Egypt, suicide bombings in","Washington Post","obama","2015-11-20 01:44:36",0.09375,-0.0260643017571343,503,24,3,"private",1
"15",18187,"WEF 2016: Fall in markets 'market's problem' not of economy, says ...","However, the &quot;problem in markets can hit the real economy also,&quot; Rajan said here at World Economic Forum (WEF) Annual Meeting.","Economic Times","economy","2016-01-20 14:36:19",-0.221505837955313,-0.00130321508785672,84,0,14,"private",14
"16",1706,"Barclays: The European Economy Was Flying on Just One Engine in ...","Hopes for a euro boom in 2015 had to be tempered on Friday morning after the preliminary estimate for third-quarter growth in the area came in","Bloomberg","economy","2015-11-13 13:22:11",0.0596741202810157,0.00408575281537877,32,0,59,"private",13
"17",69866,"The First-Ever Raising of Palestine's Flag at the UN Is Our Moment ...","Tomorrow, the Palestinian flag will be raised for the first time at the United Nations headquarters in New York and at other U.N. offices around","Huffington Post","palestine","2015-09-29 00:00:00",0.0818567997901814,0.194754217533058,-1,-1,-1,"private",0
"18",71693,"Yes, He Did: Why Obama Is the Most Consequential Second-Term ...","Candidate Barack Obama caused a stir when he singled out Ronald Reagan in 2008 as a transformational president who &quot;changed the","Huffington Post","obama","2016-01-11 20:14:47",0.0753778361444409,-0.125778367288801,344,80,2,"private",20
"19",60579,"Microsoft bought LinkedIn because the robots are coming for your jobs","In fact, Nadella even goes so far as to say that tech companies like Microsoft have a &quot;responsibility&quot; to spread that kind of economic opportunity,","Business Insider","microsoft","2016-06-30 23:00:10",0.084800065662496,0.245173395562122,-1,9,304,"private",23
"20",25171,"Economic Uncertainty Muddles Election Prospects","Renewed concerns about a global slowdown point to how quickly the 2016 election could shift to the performance of the U.S. economy, offering","Wall Street Journal","economy","2016-02-17 00:20:25",0,0.188966187739224,9,0,4,"private",0
"21",96167,"For Oil Drillers, Obama Methane Rule Is Worse Than Proposed","The Obama administration, yielding to environmentalists, is issuing limits on methane emissions from oil and gas wells that are even tougher","Bloomberg","obama","2016-05-12 15:51:13",-0.14637831924735,0.100698463931817,113,8,91,"private",15
"22",6070,"According to Las Vegas, the US economy is doing great","Las Vegas air traffic is the simplest argument yet that the US economy isn't being brought down by the rest of the world. This chart, which comes","Business Insider","economy","2015-12-01 20:20:15",0,0.0751256990898654,7,1,24,"private",20
"23",11050,"Chinese Stocks Fluctuate After Leadership Meeting on Economy","""""""The Central Economic Work Conference's outcome has come as no surprise, so the market's reaction is a bit muted,"""""" said Wei Wei, an analyst","Bloomberg","economy","2015-12-22 02:20:15",-0.0883883476483184,-0.0551064315686899,2,0,0,"private",2
"24",62864,"Obama Calls on Russia to Focus on Islamic State Group","Obama says he told Putin he needs to go after the people who killed Russian citizens ","ABC News","obama","2015-11-22 00:11:00",0.187760236072498,0.046875,11,0,0,"private",0
"25",87368,"Obama and President Xi of China Vow to Sign Paris Climate Accord ...","President Obama with President Xi Jinping of China in Le Bourget, outside Paris, in November during the United Nations climate conference.","New York Times","obama","2016-04-01 02:09:07",0.21650635094611,0,159,3,28,"private",2
"26",25780,"Fridges and flour: Syrian refugees boost Turkish economy","A senior economy official also told Reuters the Syrian refugees were some of their spending is rooted in the cash-based, informal economy.","Reuters","economy","2016-02-19 17:49:24",0.0883883476483184,0.0260643017571343,18,1,10,"private",17
"27",40988,"Microsoft Says It's 'Ready' To Play Games With PS4","Microsoft's Chris Darla wrote a blog post reporting cross-network play between PC and Xbox One for Rocket League, into which he snuck a","Forbes","microsoft","2016-04-09 15:03:22",-0.0165895061728395,-0.112221028918018,12,1,4,"private",15
"28",86292,"Obama's next gift to Iran means breaking another promise to America","In the drive for Senate approval of Obama's nuclear deal with Iran, the admistration repeatedly said Tehran would be denied access to the US","New York Post","obama","2016-03-28 01:05:07",0,0.128286355163124,846,23,33,"private",1
"29",5581,"Google And Microsoft Top The Most Popular Mutual Fund Stocks","Once a quarter, investors get to take advice from the biggest influencers in the mutual fund and hedge fund world. As the third-quarter results","Forbes","microsoft","2015-11-30 13:01:21",-0.0790569415042095,-0.158916666666667,11,0,5,"private",13
"30",42458,"PBOC's Yi Says Indicators Show `Robust' Economy Before GDP Data","A number of first-quarter indicators have shown China's economy is """"""pretty robust,"""""" Yi said Thursday at a Brookings Institution event in","Bloomberg","economy","2016-04-15 00:03:14",0.0354109217154273,-0.106600358177805,4,0,1,"private",0
"31",915,"US Economy Likely Crawled Last Quarter but Outlook Brightens","US economy likely crawled in the July-September quarter in a year of dizzying ups and downs ","ABC News","economy","2015-10-28 09:23:00",-0.0902777777777777,-0.0606339062590832,-1,-1,-1,"private",9
"32",26735,"Weidmann Remains Upbeat on Economy as Inflation Risks Increase","There are grounds to be positive about the economic outlook for Germany and the euro area even as the inflation outlook worsens, European","Bloomberg","economy","2016-02-24 11:17:26",0.25,0.124457040890317,4,0,2,"private",11
"33",34239,"Microsoft sorry for hosting 'naughty schoolgirl' party","SAN FRANCISCO """""" Microsoft says it was """"""unequivocally wrong"""""" for hosting a party with scantily dressed female dancers during a video game","New York Post","microsoft","2016-03-20 16:20:44",-0.118113897815384,-0.28641098093474,61,4,0,"private",16
"34",77972,"Potential Nominees Obama May Consider to Fill Antonin Scalia's Seat","The death of Justice Antonin Scalia in a presidential election year has set up a challenge for President Obama and his legal advisers.","New York Times","obama","2016-02-15 01:34:02",-0.0831744905408873,-0.00651607543928359,625,15,80,"private",1
"35",69310,"Jeb: Obama admin 'living in alternative universe' on Syria","Bush argued that atrocities from Syrian leader Bashar al-Assad and the Islamic State in Iraq and Syria (ISIS) undermine Obama's claims about","The Hill","obama","2015-12-29 15:54:42",0.0416666666666667,-0.0260643017571343,41,7,0,"private",15
"36",56097,"Microsoft to buy LinkedIn for $26.2 billion; LNKD shares jump 48 pct","Microsoft announced a deal to acquire professional social platform LinkedIn for $196 per share Monday. The all-cash deal is valued at $26.2","CNBC","microsoft","2016-06-13 13:56:16",-0.0109801307644735,0.136386181397495,-1,230,9237,"private",13
"37",99771,"Carter warns China against building 'Great Wall of self-isolation'","Washington (CNN) Defense Secretary Ash Carter on Friday warned China against aggression in the South China Sea, saying the nation is","CNN","obama","2016-06-04 03:55:30",-0.0395284707521047,0.11971675922669,124,1,0,"private",3
"38",78487,"Obama's surprise renewal","Instead of trying to influence the conversation, Obama is the conversation. And for a president who's proved time and again that the best way to","Politico","obama","2016-02-17 01:15:02",0.0240562612162344,-0.120833333333333,209,7,3,"private",1
"39",87751,"Obama says drone strikes carefully planned","WASHINGTON """""" President Obama on Friday defended his administration's regular use of drones or other airstrikes to target terror leaders or","USA TODAY","obama","2016-04-02 00:32:08",-0.153093108923949,-0.096275149031241,75,6,2,"private",0
"40",25897,"Economy, Heroin Addiction Top Agenda for Governors Meeting","The agenda for Saturday's meeting includes discussions about the state of the economy and the ways states are responding to the heroin","ABC News","economy","2016-02-20 14:12:31",-0.0110485434560398,0.106600358177805,10,0,0,"private",14
"41",48728,"The Time is Now: Building a Human Economy for Africa","Leaders of Africa's governments, business and civil society gather in Kigali for the World Economic Forum on Africa meeting this week.","Huffington Post","economy","2016-05-11 11:28:15",0.0988211768802618,0,11,50,5,"private",11
"42",11601,"Examining the State of the US Economy","Bloomberg Intelligence's Carl Riccadonna and Bloomberg Gadfly columnist Michael Regan report on the state of the U.S. economy. Regan's","Bloomberg","economy","2015-12-23 18:00:19",0.0944911182523068,0.0838525491562421,1,0,0,"private",18
"43",13563,"Economic outlook: China's slowing growth likely to set the tone","With few economic data releases out over the holiday period we are assessing developments in 2015 and looking forward to the issues that will","Financial Times","economy","2016-01-03 16:00:17",-0.167600715988924,0.0794961203592598,8,5,27,"private",16
"44",103327,"Michelle Obama, daughters visiting Liberia","(CNN) First Lady Michelle Obama and daughters Sasha and Malia arrived Monday in Liberia, beginning a three-nation trip to draw attention to","CNN","obama","2016-06-27 19:00:11",0,0.0608167040999802,271,6,0,"private",19
"45",101,"Microsoft to launch its Lumia 950 flagship on November 20th","Microsoft is planning to launch its Lumia 950 and Lumia 950 XL handsets on November 20th. Windows Central reports that the Lumia 950 will","The Verge","microsoft","2015-11-09 23:40:16",0.0416666666666667,0.027277236279499,133,8,24,"private",23
"46",81893,"Obama Admin Exempts 100 Million from HHS Contraception ...","The Obama administration claims that, through an """"""accommodation,"""""" it has offered to reimburse the costs of the services it requires the Little","Breitbart News","obama","2016-03-05 15:55:05",0,-0.0333126119305641,1065,14,1,"private",15
"47",43857,"5 things about Brazil's battered economy as impeachment continues","S""""O PAULO """""" As Brazil moves through the impeachment process that could oust President Dilma Rousseff from office, the country's already","USA TODAY","economy","2016-04-20 20:01:15",-0.132582521472478,0.0545544725589981,23,1,9,"private",20
"48",73509,"Loretta Lynch defends Obama gun actions","Attorney General Loretta Lynch on Wednesday defended President Barack Obama's latest round of executive actions to rein in gun violence,","Politico","obama","2016-01-20 16:01:05",0,0.0139754248593737,16,1,0,"private",16
"49",75800,"Obama Tells UK's Cameron That More US Aid for Syria Coming","President Barack Obama is telling British Prime Minister David Cameron that the U.S. will soon announce &quot;significant new contributions&quot; to","ABC News","obama","2016-02-02 23:00:31",0.356160275782483,0.00434405029285587,0,0,0,"private",23
"50",100970,"President Obama to Deliver Statement on Orlando Shooting","President Obama is scheduled to deliver a statement at the White House today addressing the shooting in Orlando, which left at least 50","ABC News","obama","2016-06-12 18:22:43",0.0441941738241592,-0.0984572752614452,1022,10,0,"private",18
"51",80201,"Obama in Florida Will Tout Benefits of Economic Stimulus","President Barack Obama is heading to Florida to tout the benefits of the massive economic stimulus bill he signed shortly after taking office seven years ago. ","New York Times","obama","2016-02-26 01:48:00",0,0.110315326015229,0,0,0,"private",1
"52",101889,"Obama's Ineptitude Enables Terror; Trump Correct to Call Him Out","The fact that Trump was blasting Obama is nothing new, but the media – fixated on extracting bombshell stories from every word Trump utters","Breitbart News","obama","2016-06-18 19:40:11",-0.267640687384043,-0.03040835204999,44,0,1,"private",19
"53",67348,"Obama administration authorizes $1.83 billion arms sale to Taiwan","WASHINGTON (Reuters) - The Obama administration formally notified Congress on Wednesday of a $1.83 billion arms sale package for Taiwan, including two frigates, anti-tank missiles, amphibious assault vehicles and other equipment, drawing an angry response from China. ","Reuters","obama","2015-12-16 08:53:00",0.132582521472478,0.0625,248,16,0,"private",8
"54",44265,"ECB action fails to ignite euro zone economy","Commenting on the survey, Chief Economist at Markit Chris Williamson said that the euro zone economy remains &quot;stuck in a low growth rut with","CNBC","economy","2016-04-22 10:01:14",0.0331456303681194,-0.24375,11,1,10,"private",10
"55",46730,"Microsoft Corporation's (MSFT) Quantum Break Problems Continue ...","The PC version of Microsoft Corporation's (NASDAQ:MSFT) Quantum Break has been riddled with issues and problems ever since release.","Daily Caller","microsoft","2016-05-02 14:45:23",-0.015007797913176,0.0109197855684809,1,1,0,"private",14
"56",76010,"Obama's former aides take on Bernie Sanders  via Twitter","Sen. Bernie Sanders (I-Vt.) thinks former secretary of state Hillary Clinton isn't a progressive. A couple of President Obama's former top aides","Washington Post","obama","2016-02-03 22:06:30",-0.038888888888889,0.18245011229994,11,5,7,"private",22
"57",57865,"Microsoft shows how bad Chrome is for your laptop's battery","Microsoft has been busy conducting its own series of battery test experiments in the meantime, to prove what we already know: Chrome drains","The Verge","microsoft","2016-06-20 14:01:13",-0.194267644182708,0.153200173661379,723,221,471,"private",14
"58",68263,"Six times Obama blamed the message, not the policy","Honolulu (CNN) Despite being renowned for his communications prowess, President Barack Obama often cites messaging problems at times","CNN","obama","2015-12-22 00:04:40",-0.0416666666666667,0.110485434560398,240,4,0,"private",0
"59",20623,"Microsoft's secret weapon for growth in the cloud: email","In reporting better-than-expected fourth quarter earnings Thursday, Microsoft Corp. CEO Satya Nadella touted his company's success in the cloud. &quot;Businesses everywhere are using the Microsoft Cloud as their digital platform to drive their ambitious transformation agendas,&quot; he said. What he didn't mention was the role that one of the company's much older products played in the success of this new ","Reuters via Yahoo! Finance","microsoft","2016-01-29 04:00:00",-0.150173611111111,0.135251736111111,20,1,17,"private",4
"60",35530,"Singapore to focus on averting recession in 2016 budget","Singapore's government will use its latest budget to boost an economy at risk of technical recession, steering away from the recent focus placed","CNBC","economy","2016-03-23 00:23:44",0.0773398041922786,0.036200419107131,21,1,10,"private",0
"61",92169,"Obama Addresses Young Brits, Meets With Leaders as UK Tour ...","LONDON""""""President Barack Obama's final day in Britain had all the markings of a farewell tour, filled with a bit of sightseeing, a walk down","Wall Street Journal","obama","2016-04-23 18:55:10",-0.0790569415042095,-0.136961805555555,13,0,1,"private",18
"62",61768,"Does the FOMC Need More Aggression to Stimulate Economy?","U.S. shares swung back to gains, while the dollar weakened after minutes of the Federal Reserve's last meeting did little to alter perceptions","Bloomberg","economy","2016-07-07 09:02:11",0,-0.0948326758056681,-1,0,0,"private",9
"63",78343,"'Mr. Trump will not be president': Obama unloads on the entire ...","US President Barack Obama harshly criticized the entire slate of Republican presidential candidates during a press conference on Tuesday afternoon.","Business Insider","obama","2016-02-16 22:55:02",-0.150755672288882,-0.052796049468745,379,98,243,"private",22
"64",20788,"US Stocks Soar; Microsoft Leads a Surge in Technology","Stocks soared on the last trading day of January, led by big gains in technology companies after Microsoft turned in a strong quarter. Visa and","ABC News","microsoft","2016-01-29 17:20:31",-0.111111111111111,-0.125347222222222,10,0,0,"private",17
"65",56400,"Microsoft fights history with biggest-ever software deal","Microsoft's challenges integrating big acquisitions suggests there are struggles ahead with LinkedIn. ","CNBC","microsoft","2016-06-13 18:01:00",0,0.10674965914704,-1,2,221,"private",18
"66",53786,"Fed's Tarullo on Bank Regulations, Fed Policy, Economy","Federal Reserve Board Governor Daniel Tarullo discusses bank regulations, Fed policy and the U.S. economy. He speaks on &quot;Bloomberg """"""GO""""""","Bloomberg","economy","2016-06-02 14:00:07",0.176776695296637,0.119925402950031,2,0,0,"private",14
"67",86546,"Reporter’s Notebook: Obama Family Spring Break: Making History and Doing the Tango","From a historic visit in Cuba to downtime at a remote park in Argentina, the first family makes a holiday of one of President Obama’s last big trips in office. ","New York Times","obama","2016-03-24 18:49:00",-0.0110127128894785,-0.150606529303702,-1,-1,-1,"private",18
"68",25205,"Railroad titan CSX expects the economy to be 'challenging' in 2016","CSX, one of the largest railroad companies in the US, said Wednesday that it expects the economy to be &quot;challenging&quot; in 2016. In a release, CFO Frank Longero","Business Insider","economy","2016-02-17 17:10:23",0,-0.0299820598098365,12,1,1,"private",17
"69",91711,"Obama Urges Britain to Remain in the EU","LONDON """""" President Obama has called on the British people not to vote for an exit from the European Union, writing in an opinion article","New York Times","obama","2016-04-22 01:15:09",0,-0.280670699693906,158,3,15,"private",1
"70",73705,"Think President Obama missed DC's traffic nightmare? Think again.","Travel has its privileges when you're the most powerful person in the free world. But even for President Obama, the perks of the White House","Washington Post","obama","2016-01-21 16:25:27",0.083101851851852,-0.0639583333333333,45,0,1,"private",16
"71",95027,"Obama to Republicans: Like it or not, you're stuck with Trump","If Republican leaders won’t line up behind Donald Trump, President Obama is trying to lash them together himself. Obama seized on the deepening fracture between Republicans and likely nominee Trump on Friday, warning GOP leaders and voters alike that, like it or not, Trump is the face of the party ","Los Angeles Times","obama","2016-05-06 16:13:00",-0.0753778361444409,-0.191079886466322,112,0,0,"private",16
"72",54648,"You Know Almost Nothing About the Economy; Get Used to It","Investors typically care far too much about the payrolls data, treated now as the most important economic release each month. The figures are","Wall Street Journal","economy","2016-06-06 18:46:07",0.0359719784711526,0.184347014261154,48,3,310,"private",18
"73",43532,"Polish Industry, Retail Miss Forecasts in Signal Economy Slowed","Polish industrial output rose at the weakest pace in 16 months in March and retail sales stagnated, a sign the economy slowed last quarter as","Bloomberg","economy","2016-04-19 15:23:16",0.03125,-0.0361469840514878,1,0,1,"private",15
"74",71835,"Win, lose or draw: Scoring Obama's State of the Union proposals","For six consecutive years, President Barack Obama used his State of the Union address to call for immigration reform. In three other State of the","Politico","obama","2016-01-12 10:24:46",0.110972925434871,0.141354166666667,117,6,0,"private",10
"75",70808,"Keystone pipeline developer sues Obama","The company behind the Keystone XL oil pipeline is filing a pair of legal challenges to the Obama administration's rejection of the project.","The Hill","obama","2016-01-06 22:44:43",0,-0.0260643017571343,287,9,39,"private",22
"76",60382,"There's a parasite in China sucking up money faster than the country ...","China's shadow banking system will soon begin to suck money out of the country's economy at a mind-bending rate, according to analysts at","Business Insider","economy","2016-06-30 17:40:05",0.0661547183446447,-0.204124145231932,-1,3,53,"private",17
"77",80538,"Obama sings Ray Charles","President Barack Obama showed off his pipes in a PBS special Friday when he led a White House audience in a rendition of Ray Charles' &quot;What'd I Say.&quot; ","CNN","obama","2016-02-27 13:59:00",0,-0.225681979712777,359,0,7,"private",13
"78",65310,"EXCLUSIVESan Bernardino Tea Party to Obama: Keep Syrian ...","Californian Tea Party members in the San Bernardino area are urging President Barack Obama to back away from his plan to send Syrian","Breitbart News","obama","2015-12-04 06:24:40",-0.208333333333333,0.0456125280749851,192,77,0,"private",6
"79",74571,"Could Obama be the next Supreme Court justice? Hillary Clinton is ...","That last point is a window into Clinton's thinking about the state of partisanship in Washington -- particularly when it comes to views of Obama.","Washington Post","obama","2016-01-27 00:25:29",0.310933574095819,0.136082763487954,361,3,3,"private",0
"80",102631,"Obama: Smaller banking profits not a 'bad thing'","The U.S. economy is safer and more stable now than it was seven and a half years ago, President Obama said this week in an interview with","Politico","obama","2016-06-23 13:20:11",-0.132582521472478,0.0188982236504614,20,1,3,"private",13
"81",14506,"US economy seen growing 1% in Q4: Atlanta Federal Reserve","NEW YORK: The U.S. economy is on track to grow 1.0 percent in the fourth quarter after data showed a surprise shrinkage in the trade deficit in","Economic Times","economy","2016-01-06 18:46:18",0.0416666666666667,-0.0200468843468619,7,0,0,"private",18
"82",58111,"Billionaire Li Ka-Shing Says China's Economic Outlook Is Bright","Hong Kong's richest man said China's economic outlook is bright in the long term, casting a vote of confidence in a country that's growing at its","Bloomberg","economy","2016-06-21 03:00:09",-0.0806380803342937,-0.0500096144602369,-1,6,92,"private",3
"83",98271,"Obama Reassures The World As Donald Trump's Popularity Grows","President Barack Obama reassures the world that the United States would survive the 2016 presidential election, in spite of the dynamic debate","Breitbart News","obama","2016-05-25 13:15:30",-0.0416666666666667,-0.163663417676994,39,1,0,"private",13
"84",102293,"Obama touts TPP trade deal, bucks opposition from Hillary Clinton ...","President Barack Obama waves as he walks off stage after speaking at the SelectUSA Investment Summit in Washington, Monday, June 20,","Washington Times","obama","2016-06-20 21:00:11",-0.108703294568288,-0.0333857371640595,11,0,0,"private",21
"85",13010,"Best 5 Future-Proof Laptops Heading Into 2016: Apple, Microsoft ...","Microsoft MSFT +0.00% Surface Book: In short, the ultimate 2-in-1. It's a laptop first, tablet second. Everything from Microsoft before the Surface","Forbes","microsoft","2015-12-31 11:38:25",0.117851130197758,0.0537361554706131,19,2,66,"private",11
"86",81061,"House moves to file Supreme Court brief in Obama immigration case","Texas, which tests whether Obama's plan to defer deportation for millions of undocumented immigrants is legal. A lower court halted the","Politico","obama","2016-03-01 15:03:04",0.235555737951378,-0.00681930906987476,64,2,9,"private",15
"87",19906,"Microsoft: The US government 'overreached' when it asked for EU data","In an interview with ComputerWeekly, Hauger laid out how Microsoft, which is currently engaged in a legal battle with the US government, sees granting access","Business Insider","microsoft","2016-01-27 12:20:28",0,0.025,1,0,36,"private",12
"88",13138,"Microsoft to Notify Users of Government Hackings","The company joins Google, Facebook and others in disclosing when users of email and other services have probably been targeted by hackers working on behalf of governments. ","New York Times","microsoft","2015-12-31 15:29:00",0,-0.156365697905524,196,12,454,"private",15
"89",22915,"The trade-off economy  a new cheerful side to the dismal science","Trade-offs have long been at the center of economics. The aphorism """"""there is no such thing as a free lunch"""""" captures a central economic idea:","Washington Post","economy","2016-02-08 00:41:27",-0.114267240777113,0.0286002697076518,69,3,37,"private",0
"90",103721,"President Obama's militant kill list","President Obama's militant kill list doesn't end at Osama bin Laden. Notable targeted killings under President Obama. AFP. Osama bin Laden","Los Angeles Times","obama","2016-06-30 04:00:26",0.154288690447485,0.0338237729865788,70,2,0,"private",4
"91",47601,"Does the JOBS Act of 2012 Work in the Economic, Investor, And ...","Four years after the JOBS Act was originally signed into law, equity crowdfunding for non-accredited investors has arrived. Speculation","Forbes","economy","2016-05-06 00:35:17",-0.0133481584839114,-0.0279508497187474,30,3,41,"private",0
"92",102690,"Obama Concedes Court Tie Means Game Over on Immigration Plan","President Barack Obama seeks to reassure millions of immigrants in the U.S. illegally that he has no plans to deport them, while acknowledging that the Supreme Court's deadlock Thursday marks the end of the road for his reform efforts ","ABC News","obama","2016-06-23 10:15:00",-0.0494105884401309,0.0882802513463672,0,0,0,"private",10
"93",61869,"Russia reminds wayward ally Belarus of its economic muscle","The Kremlin appears to be sending a message that, with the Belarus economy in recession and propped up by subsidized Russian oil and gas,","Reuters","economy","2016-07-07 07:40:11",0,-0.157345695282947,-1,2,16,"private",7
"94",73482,"Obama Meets With Flint Mayor Amid Water Crisis","Obama has declared a state of emergency in Flint, Michigan. ","ABC News","obama","2016-01-20 05:23:00",0.0220970869120796,-0.197642353760524,18,0,0,"private",5
"95",83333,"Obama blames the GOP for Trump's rise","Speaking at a Democratic Party fundraiser in Austin, Texas, on Friday evening, President Barack Obama lit into Donald Trump, by turns","Politico","obama","2016-03-12 05:15:05",0.0420485476222765,-0.0750123997686224,1301,17,7,"private",5
"96",29284,"In New Economic Plan, China Bets That Hard Choices Can Be ...","BEIJING """""" As economic growth has fallen while debts and excess industrial output have risen, Chinese leaders have faced growing questions","New York Times","economy","2016-03-05 11:40:28",0.0712756409801178,-0.321434771765595,261,18,112,"private",11
"97",52308,"U.S. Economy Grew More Last Quarter Than Previously Estimated","The U.S. economy expanded at a slightly faster pace in the first quarter than previously estimated, reflecting less damage from trade and","Bloomberg","economy","2016-05-27 13:32:15",-0.154161035933208,0.0351868073721314,57,1,221,"private",13
"98",15086,"Here's Why Welcoming Refugees Is A Sound Economic Investment ...","A record high influx of refugees into Germany made headlines this week, as the Ministry of the Interior revealed that 1.1 million people","Forbes","economy","2016-01-08 17:18:19",0,0.05196767461168,73,1,1,"private",17
"99",44109,"Microsoft Sales Drop Amid Weak PC Market","(Reuters) """""" Microsoft MSFT -3.76% reported a 5.5% fall in quarterly revenue as a strong U.S. dollar reduced the value of sales from outside the","Fortune","microsoft","2016-04-21 21:18:24",-0.106302508033845,-0.0352833418230837,1,2,0,"private",21
"100",64268,"Obama: Turkey And Russia Must Deescalate Situation in Syria","President Obama wants Turkey and Russia to deescalate the situation in the ongoing fight in Syria, after Turkish forces shot down a Russian","Breitbart News","obama","2015-11-25 00:00:00",-0.166666666666667,-0.254289844018042,-1,-1,-1,"private",0
"101",68108,"Obama Takes Aim At Republican Critics, Especially Trump","President Barack Obama reacts during a press conference at the Organization for Economic Co-Operation and Development Centre in Paris on Dec. 1, 2015. ","Bloomberg","obama","2015-12-21 04:04:00",0.0441941738241592,-0.0236889684839567,15,0,0,"private",4
"102",3747,"Microsoft and Red Hat Reach Linux Deal","Under the deal, Microsoft agreed to designate Red Hat's Linux as its """"""preferred"""""" option for enterprise-style computing jobs on Azure. In addition","Wall Street Journal","microsoft","2015-11-04 00:00:00",-0.236227795630767,-0.104257207028537,-1,-1,-1,"private",0
"103",72205,"Obama Reveals 'One Of The Few Regrets' Of His Presidency","President Barack Obama revealed &quot;one of the few regrets&quot; of his time in office in his final State of the Union speech. Speaking in front of a joint","Huffington Post","obama","2016-01-13 03:24:47",0.0158113883008419,-0.0753118516569603,181,0,0,"private",3
"104",16350,"Brookfield's Bruce Flatt: US Economy Good, Not Perfect","Brookfield Asset Management Chief Executive Officer Bruce Flatt oversees the world's second largest alternative asset manager. Bloomberg","Bloomberg","economy","2016-01-13 10:20:21",-0.323169896089164,-0.0606339062590832,2,0,2,"private",10
"105",101076,"Opening to Cuba is 'irreversible,' senior Obama aide says","President Obama's opening to Cuba is irreversible and remaining legislative restrictions on relations between the two countries """""" including a","Washington Post","obama","2016-06-10 00:00:00",0.0296463530640786,-0.00716924168345505,-1,-1,-1,"private",0
