,IDLink,Title,Headline,sentiment,episodic,Source,Topic,PublishDate,SentimentTitle,SentimentHeadline,Facebook,GooglePlus,LinkedIn,status,Hour
11,72939,YouTube Star Talks Space With President Obama,"Rocket scientist and YouTube star, Destin Sandlin, got to interview President Obama. NPR's Rachel Martin asks Sandlin about what the two",0,1,NPR,obama,1/17/16 13:18,0.047245559,0.136386181,13,1,5,public,13
13,74424,Obama Set To Deliver Final State Of The Union Address,"President Obama delivers his final State of the Union speech to a Congress and country already in the throes of a presidential campaign. NPR has a preview of what he might say, and how it will frame the 2016 presidential race. ",0,1,NPR,obama,1/12/16 13:32,-0.128072245,-0.202583413,-1,-1,-1,public,13
14,82806,'The Obama Doctrine': Examining White House Foreign Policy,"Steve Inskeep talks to Jeffrey Goldberg, who dives deep into President Obama's eight years in a cover story for The Atlantic magazine.",0,0,NPR,obama,3/10/16 12:00,-0.108030203,-0.086612791,77,0,2,public,12
15,79645,"Obama Says Guantanamo Prison Doesn't Help US Security, 'It ...",U.S. operation of the Guantanamo Bay military detention center in Cuba is &quot;contrary to our values&quot; and is seen as &quot;a stain on our broader,-1,0,NPR,obama,2/23/16 20:15,0.000868056,-0.046423835,401,11,25,public,20
16,97202,President Obama Is Familiar With Finland's Heavy Metal Scene. Are ...,"At White House state dinners, it's customary for a president to nod to the strengths and contributions of guest countries. And when hosting",1,0,NPR,obama,5/17/16 22:35,0.011858541,-0.063712738,470,2,4,public,22
17,88806,Obama Is Still Trying to Keep Markets Competitive,"Pfizer Inc. has decided to kill its planned $150 billion takeover of Allergan PLC, after the Obama administration took aim at a deal that would",0,0,Mother Jones,obama,4/6/16 6:35,-0.237806745,-0.006123724,8,2,0,public,6
19,64520,Obama Just Called Saving the Planet an &quot;Act of Defiance&quot; Against ...,"A major two-week summit on climate change opened on Monday in Paris, and President Barack Obama was there to urge world leaders to",1,1,Mother Jones,obama,11/30/15 16:04,0.060670334,-0.021475561,865,36,3,public,16
20,99631,Obama Makes Historic Visit To Hiroshima Memorial Peace Park,Obama is the first sitting U.S. president to visit the city destroyed by an American atomic bomb in the closing days of World War II. ,1,1,NPR,obama,5/27/16 1:05,-0.260416667,-0.15934436,-1,-1,-1,public,1
21,75966,Obama Asks Congress For More Money To Fight Opioid Drug Abuse,President Obama plans to ask lawmakers for hundreds of millions of dollars to combat this epidemic of opioid abuse when he releases his,0,1,NPR,obama,2/3/16 5:45,-0.248746859,-0.028236327,140,10,47,public,5
22,71095,Is Obama's Hope For Better Fuel Economy Sputtering Out?,"That's a huge turnaround from 2009, and the Obama administration cheered the rebound as vindication of the president's decision to rescue",-1,0,NPR,obama,1/8/16 10:08,0,-0.072672209,76,1,14,public,10
23,78852,Obama To Make Historic Visit To Cuba Next Month,"President Obama plans to travel to Cuba next month, capping a historic diplomatic thaw after decades of official isolation. ",1,1,NPR,obama,2/18/16 18:42,-0.048055556,-0.143384834,13,0,4,public,18
24,98909,Is Primary Rivalry Making The Democratic Party Stronger Like It Did ...,That feeling intensified as the Democratic primary heated up. Elleithee says it wasn't until the fall of 2007 that he saw Obama as a real threat.,0,0,NPR,obama,5/29/16 14:35,0.113066754,-0.207824074,129,1,6,public,14
25,88169,President Obama Chides Media For 2016 Election Coverage,"President Obama delivered a stern rebuke of the media, its role in the 2016 campaign and for, as he sees it, not holding candidates",-1,1,NPR,obama,3/29/16 0:00,0,-0.364900225,-1,-1,-1,public,0
26,101550,Dalai Lama Meets With President Obama; China Objects,"The Dalai Lama, visiting the White House today, offered President Obama condolences for the Orlando shootings. The president and the",0,1,NPR,obama,6/16/16 0:55,0.088388348,-0.068324299,178,6,4,public,0
27,85519,Obama Praises And Challenges Cubans In Speech In Havana,"President Obama's speech to the Cuban people, delivered live from the Gran Teatro in Havana, presented both a risk and an opportunity.",0,1,NPR,obama,3/23/16 1:35,-0.052083333,-0.008143083,99,2,3,public,1
28,104228,Obama campaign machine prepares to support Clinton,"Barack Obama and Hillary Clinton wave at a presidential campaign rally in Orlando, Florida, on October 20, 2008. Photo by Jim Young/Reuters.",0,0,PBS NewsHour,obama,7/3/16 16:03,-0.188982237,-0.095470327,215,1,0,public,16
29,14913,Foreign Investors Fear Global Consequences Of Chinese Economic ...,"NPR's Kelly McEvers speaks with Jamie Metzl, senior fellow with the Atlantic Council, about what is going on with China's economy. Chinese",-1,0,NPR,economy,1/7/16 22:20,-0.176776695,0.066625224,13,1,11,public,22
30,67721,Obama Wraps Up 2015 With Year-End Press Conference,"After this year's final press conference, Obama is scheduled to travel to San Bernardino, Calif., to visit families of victims of this month's terrorist",0,0,NPR,obama,12/18/15 19:34,0.041738942,-0.182152449,144,0,6,public,19
31,82449,Obama Considers Candidates To Fill Supreme Court Vacancy,President Obama has begun interviewing candidates to fill the Supreme Court vacancy left by the late Justice Antonin Scalia.,0,1,NPR,obama,3/9/16 3:42,0.217288021,0.047794945,11,0,2,public,3
32,95630,Activists Protest &quot;Displacement from Brooklyn to Palestine&quot; Inside ...,"In New York, more than 150 activists gathered at the Brooklyn Museum to protest a photography exhibition they say normalizes the Israeli",-1,0,Democracy Now!,palestine,5/9/16 15:23,0,-0.080922468,93,6,0,public,15
33,101347,Obama's Criticism Reveals Multi-Front Campaign Against Trump,President Obama's animated criticism of Donald Trump's comments Tuesday reveals a multi-front campaign against the Republican candidate.,-1,0,NPR,obama,6/14/16 21:35,0,0.029462783,9,0,2,public,21
34,104041,"The Obama Years: Views On A Presidency, Across America",How has America changed after eight tumultuous years under President Obama? We put that big question to scores of people in seven states.,0,0,NPR,obama,7/1/16 21:00,0.041666667,0.081450943,-1,13,5,public,21
35,61605,"Fact Check: Trump's Speech On The Economy, Annotated",The NPR Politics team looks at Donald Trump's claims about globalization and trade. ,0,0,NPR,economy,6/28/16 14:35,0.03314563,0.199345383,-1,-1,-1,public,14
36,102996,President Obama Acknowledges 'Brexit' To Silicon Valley Crowd,"President Obama delivered a speech Friday at Stanford University, and remarked on the Brexit vote in front of a crowd of young, tech-forward,",0,1,NPR,obama,6/25/16 13:43,0,-0.108440952,29,0,35,public,13
37,86166,Can Israelis And Palestinians Change Their Minds?,"What makes people change their minds? About the really hard stuff. Covering the Israeli-Palestinian conflict for the past three years, I've often",0,0,NPR,palestine,3/25/16 0:00,0,0.120110774,-1,-1,-1,public,0
38,97086,Obama Guidelines To Protect Transgender Students Is 'Life Changing',The administration ordered schools to allow transgender students to use bathrooms that matches their gender identity. Mary Louise Kelly talks,1,0,NPR,obama,5/17/16 10:35,0,0.080746899,74,0,9,public,10
39,82759,Obama narrowing list of possible Supreme Court candidates,President Barack Obama is zeroing in on a small group of appellate court judges for a Supreme Court nominee. Photo by Jonathan Ernst/,0,1,PBS NewsHour,obama,3/10/16 0:15,0.364601934,-0.091225056,12,0,0,public,0
40,63014,"Despite calls for ouster, Assad's presidency likely to outlast Obama's","Despite U.S. calls for Assad to step down, the embattled Syrian president appears poised to outlast President Barack Obama in office. Photo by",0,0,PBS NewsHour,obama,11/22/15 21:44,-0.088939059,-0.210503025,38,1,0,public,21
41,85380,Is Clinton Moving to the Right of Trump on Israel-Palestine? A ...,"Is Clinton Moving to the Right of Trump on Israel-Palestine? A Debate on the Candidates &amp; AIPAC. March 22, 2016. Story. WATCH FULL SHOW. 0. Shares.",0,0,Democracy Now!,palestine,3/22/16 15:00,-0.019647737,0.072753399,634,16,14,public,15
42,68163,Obama calls criticism of US strategy against IS legitimate,"Honolulu """""" President Barack Obama says criticism of his strategy to combat the Islamic State group is legitimate and failure to keep the public",0,0,Salt Lake Tribune,obama,12/21/15 17:44,0.041666667,-0.092854075,0,1,0,public,17
43,64791,Donald Trump Just Gave the Dumbest Rebuttal to Obama's Big ...,"On Monday, in Paris, President Barack Obama pressed world leaders to adopt an aggressive international agreement to curb climate change.",-1,1,Mother Jones,obama,12/1/15 17:44,-0.057645687,0.123216663,213,4,1,public,17
44,90932,Supreme Court Hears Arguments in Obama's Immigration Executive ...,"In one of the most closely watched legal cases of the year, the Supreme Court will hear arguments today on whether President Obama",0,1,Democracy Now!,obama,4/18/16 15:35,0.276213586,0.351868074,2,0,0,public,15
45,91354,Obama Effect Triggers More Nuanced Conversations On Race,"A Mexican-American family considers how differences in generations, citizenship and upbringing affect what it means to be American, and how",0,0,NPR,obama,4/20/16 11:15,0,-0.042431256,49,0,0,public,11
46,68394,Seymour Hersh's Latest Bombshell: U.S. Military Undermined ...,"The Obama administration has quietly backed off its public insistence that Assad must go, claiming it's no longer seeking regime change in",-1,1,Democracy Now!,obama,12/22/15 15:24,-0.044194174,-0.085354315,1392,107,4,public,15
47,91945,Obama: North Carolina's Bathroom Law 'Should Be Overturned',"During a news conference in London Friday, President Obama criticized the North Carolina law that requires transgender people to use public",0,1,NPR,obama,4/22/16 23:35,0.044194174,-0.003030804,197,4,3,public,23
48,84970,NRA: Don't trust Obama to nominate a justice who will preserve gun ...,The truth is that President Obama has lost all trust and credibility when it comes to law-abiding gun owners. During his two presidential,-1,0,Salt Lake Tribune,obama,3/20/16 14:35,-0.4420338,0.184987507,33,0,0,public,14
49,73259,Washington Post: Obama's future focus misses key component - aging,"With those words, President Obama announced that last Tuesday's State of the Union speech would be different: not the usual list of legislative",-1,0,Salt Lake Tribune,obama,1/19/16 13:56,0.03125,-0.21937454,0,0,0,public,13
50,32100,Trump Voters Are Not Angry About the Economy. Really.,"I've been periodically making the case that Americans aren't really all that angry about the economy, which naturally implies that the economy",0,0,Mother Jones,economy,3/17/16 14:29,-0.202256944,0.140024012,49,1,0,public,14
51,102707,A Federal Judge Just Struck Down Obama's Fracking Regulations,"A major push by the Obama administration to curb the environmental impacts of fracking suffered a severe blow Wednesday evening, when a",0,1,Mother Jones,obama,6/23/16 19:10,-0.201649306,-0.342453651,93,3,6,public,19
52,61225,Venezuela Is In Crisis. Its Economy Is In A Tailspin,"The South American country is experiencing widespread shortages of food and medicine, along with rolling power blackouts. All of which have",-1,0,NPR,economy,7/5/16 10:03,-0.197642354,0.020457927,-1,1,13,public,10
53,59659,"Halfway Around The World, Brexit Hits Japan's Already Soft Economy",The world's third largest economy is still struggling to gain traction under Prime Minister Shinzo Abe. The British decision to leave the European Union has delivered another blow. ,-1,0,NPR,economy,6/28/16 1:27,0.052704628,-0.05755709,-1,13,21,public,1
54,66342,President Obama Just Ended No Child Left Behind. Here's the One ...,"President Barack Obama and a young student touch fingers during a January 2015 visit to a Lawrence, Kan. Head Start provider. Pete Souza/",0,0,Mother Jones,obama,12/10/15 16:42,-0.043970404,-0.477258687,6339,39,17,public,16
55,65015,How Obama Hopes To Achieve U.S. Climate Goals,"President Barack Obama, though thinks he's figured how the United States can once again star, even without the support of the U.S. Congress.",1,0,NPR,obama,12/2/15 22:04,0,-0.109929357,108,2,15,public,22
56,89835,WATCH: Obama to designate national monument to honor women's ...,"President Barack Obama will designate the Sewall-Belmont House, which played a role in the U.S. women's suffrage movement, as a national",1,1,PBS NewsHour,obama,4/12/16 15:39,0.0625,-0.156385811,224,0,0,public,15
57,67901,President Obama Talks Terrorism In Year-End Press Conference,Terrorist attacks and the ongoing battle with the Islamic State cast a shadow over some of the accomplishments the president tried to highlight,-1,1,NPR,obama,12/19/15 13:11,-0.037037037,0.052128604,17,0,5,public,13
58,64842,"After Planned Parenthood Shooting, Obama Again Calls For Action ...","Though he said an &quot;honest debate&quot; about abortion in the United States is valid, President Obama, following the shooting at a Planned",0,0,NPR,obama,12/1/15 20:24,0.03125,0.076546554,35,0,4,public,20
59,52540,Strikes Across France Paralyze Economy,"A dispute over labor law changes in France has escalated to a full-fledged confrontation between the government and influential unions,",-1,0,NPR,economy,5/28/16 22:08,-0.111803399,-0.152866178,14,0,4,public,22
60,87664,NY Legislator Doubles Down on Condemnations of Pro-Palestinian Student Group,New York assemblyman Dov Hikind insists CUNY ban Students for Justice in Palestine for encouraging violence against Jews. But a Forward investigation found a more complex situation. ,0,0,The Forward,palestine,4/1/16 13:09,0.021749646,-0.232543858,30,2,0,public,13
61,78486,"America Is Obsessed With Identity. Thanks, Obama?","When Barack Obama won the presidency in 2008, there was a lot of talk about &quot;The Obama Effect&quot;: how the nation's first black president",-1,0,NPR,obama,2/17/16 15:15,0,0.2,329,21,3,public,15
62,66381,President Obama Finalizing Plan to Expand Background Checks ...,President Barack Obama reportedly requested his aides draft the plans in the wake of the shooting at a community college in Oregon back in,0,1,Mother Jones,obama,12/10/15 20:24,0.252888884,0.095683193,4850,30,3,public,20
63,99597,Obama to gun owners  I'm not looking to disarm you,"Wednesday night, the NewsHour hosted President Obama for a wide-ranging interview with Gwen Ifill, followed by a town hall meeting in",0,1,PBS NewsHour,obama,6/3/16 1:15,-0.237170825,-0.213200716,1131,3,0,public,1
64,77486,Sanders: Obama Has 'Tried To Be Fair' In Primary Race,"President Obama and Vice President Biden &quot;have tried to be fair and even-handed&quot; in the primary process, Sen. Bernie Sanders said",1,1,NPR,obama,1/27/16 0:00,0.039528471,0.051031036,-1,-1,-1,public,0
65,54176,Why hiring is at five-year low and the economy is stalling,"According to a new report from the Labor Department, U.S. hiring fell to a five year low in May, with just 38,000 new jobs. Even if those numbers",-1,0,PBS NewsHour,economy,6/4/16 0:35,-0.171400861,-0.208077317,19,2,3,public,0
66,102160,Obama: No Direct Evidence That Terrorist Group Directed Orlando Attack,"President Obama spoke Monday after being briefed by his national security team about Sunday morning's mass shooting at a gay nightclub in Orlando, Fla. ",0,1,NPR,obama,6/13/16 9:52,-0.29975757,-0.011163039,-1,-1,-1,public,9
67,10875,Got A Crystal Ball? No? Then Here's Help With 2016 Economic ...,"The mainstream view is that the new year's gross domestic product """""" the broadest measure of the economy """""" will grow in the 2.5-to-3 percent",0,0,NPR,economy,12/21/15 16:04,-0.286581413,-0.117289358,139,13,48,public,16
68,91405,Bernie Sanders says Hillary Clinton had 'one line on the Palestinian ...,"This section includes the word &quot;Palestinian&quot; or a variant seven times, over So Sanders is wrong that Clinton &quot;had one line on the Palestinian",0,1,PolitiFact,palestine,4/20/16 17:15,-0.113066754,-0.19245009,130,0,0,public,17
69,104580,"Barack Obama wrong about size of U.S. steel production, work force","Canadian Prime Minister Justin Trudeau and his wife, Sophie Gregoire Trudeau, share a laugh with U.S. President Barack Obama after his",-1,1,PolitiFact,obama,7/5/16 23:00,0.095473287,0.115483721,48,1,0,public,23
70,89187,Why the Obama administration is stepping up a corporate crackdown,The Obama administration has taken steps to rein in big businesses this week: New rules issued by the Treasury Department regarding tax,0,0,PBS NewsHour,obama,4/8/16 1:55,0.072468863,-0.165452639,78,0,1,public,1
71,53524,Obama returns to Indiana town that mirrored U.S. economy,"Obama and his aides have long signaled frustration that as the economy has improved, the public's perception of his decision-making hasn't",0,0,PBS NewsHour,economy,6/1/16 14:00,0,0.059962701,45,0,0,public,14
72,71836,What To Expect From Obama's Final State Of The Union,Steve Inskeep talks to former Obama speechwriter Jon Favreau about what it takes to write such a speech. President Obama delivers his final,0,1,NPR,obama,1/12/16 10:27,-0.096350647,-0.136837584,24,0,3,public,10
73,102029,News Wrap: Obama consoles Orlando attack survivors,"In our news wrap Thursday, President Obama traveled to Orlando to meet with survivors and the families of the victims of a mass shooting at a",0,1,PBS NewsHour,obama,6/17/16 0:00,0,-0.073543551,-1,-1,-1,public,0
74,87671,Obama Addresses World Leaders At Final Nuclear Security Summit,President Obama has hosted his last summit aimed at grappling with the dangers of loose nukes. NPR takes a look at what has been,0,1,NPR,obama,4/1/16 21:22,-0.1953125,-0.081394503,7,0,1,public,21
75,3398,Is China's one-child policy to blame for its economic slowdown?,"One of the supposed benefits of a centrally-planned economy is the ability to look further into the future, and when China's leadership did,",-1,0,PBS NewsHour,economy,11/19/15 19:20,0,-0.034020691,40,14,0,public,19
76,85065,Obama Weighs In On GOP 'Crackup' In News Conference With Justin Trudeau,President Obama weighs in on what he calls the &quot;Republican crackup&quot; and says he's not to blame. He spoke at a joint press conference with the new Canadian prime minister. ,-1,1,NPR,obama,3/10/16 13:32,0.036084392,-0.082250268,-1,-1,-1,public,13
77,95875,Obama Gets All In His Blackness At Howard,"&quot;Be confident in your heritage. Be confident in your blackness,&quot; President Barack Obama told graduates and their families at Howard",0,1,NPR,obama,5/10/16 20:01,0.176776695,-0.115483721,122,6,8,public,20
78,101734,President Obama Speaks In Orlando After Meeting With Victims ...,"NPR's Ari Shapiro talks with NPR White House correspondent Scott Horsley and Corey Ealons, former communications aide for President",0,1,NPR,obama,6/16/16 23:55,-0.041666667,-0.070099252,13,0,2,public,23
79,77068,"Password Security Is So Bad, President Obama Weighs In","But Obama didn't stop there. He made a grassroots call too. Reflecting the granularity of his approach, Obama is literally asking citizens to",-1,1,NPR,obama,2/9/16 21:05,-0.10842191,-0.049413572,155,37,121,public,21
80,20867,News Wrap: U.S. economy slowed at end of 2015,"Friday on the NewsHour, new data from the government shows that American consumers spent less, businesses invested less and companies",-1,0,PBS NewsHour,economy,1/30/16 0:40,0,-0.004658475,3,0,0,public,0
81,99962,Arizona sheriff says Obama called global warming America's 'top ...,"Paul Babeu, the Republican Sheriff of Pinal County, Ariz., near the U.S.-Mexico border, has repeatedly criticized President Barack Obama's",0,1,PolitiFact,obama,6/5/16 0:00,0,0,21,2,0,public,0
82,104314,Obama's Years: Road Trip Kentucky,Morning Edition's Steve Inskeep talks to Americans about how their lives have changed under President Obama. Here's what he heard from a,0,0,NPR,obama,7/4/16 11:57,-0.079194074,-0.013325045,12,0,2,public,11
83,82953,WATCH: Obama Says Trump Is A Product Of The Republican Party ...,"President Obama said Thursday that the Republican Party is responsible for Donald Trump's rise, for &quot;over a course of time, creating an",-1,1,NPR,obama,3/10/16 18:15,-0.056533377,0.036229379,786,7,6,public,18
84,93921,"Sanders Calls It ‘Palestine,’ Trump Won’t Call It ‘West Bank’ — and Why These Words Matter","When Bernie Sanders says ‘Palestine,’ you know where he’s coming from. Not so when Donald Trump says it. These distinctions are more than technicalities, Jane Eisner writes. The words matter. ",0,0,The Forward,palestine,5/2/16 2:11,-0.027994792,-0.193574603,56,7,2,public,2
85,15130,"Amid Chinese Uncertainty, US Economy Shows Strength With Jobs ...","After a frightening week for global financial markets, the U.S. economy showed real strength on Friday when the Labor Department released",1,0,NPR,economy,1/8/16 21:31,0.041666667,0.035977621,22,0,9,public,21
86,80243,U.S. Rep. Glenn Grothman criticizes Barack Obama over vetting of ...,"&quot;Whether it's dealing with the Middle East or south of the border, Barack Obama is apparently not for vetting people and saying just anybody",-1,1,PolitiFact,obama,2/26/16 10:15,0,-0.185416667,117,4,0,public,10
87,62904,Obama Ends Asian Summit With Focus On Counterterrorism,"At the close of an Asian summit in Malaysia, President Obama vowed to destroy ISIS on the battlefield, while also saying that the most powerful",0,1,NPR,obama,11/22/15 12:39,0.077339804,0.033111111,13,0,4,public,12
88,81027,Obama: 'The Constitution Is Pretty Clear' About A Supreme Court Vacancy,"President Obama reiterated his plan to nominate a successor for Justice Antonin Scalia, who died over the weekend, and challenged Senate Republicans who suggested they would block his nominee. ",0,1,NPR,obama,2/16/16 15:25,0.452267017,-0.063832772,-1,-1,-1,public,15
89,19111,Obama Touts U.S. Economy In His Final State Of The Union,"President Obama began his State of the Union Tuesday night with what he called a fact: The United States of America now has the strongest most durable economy in the world, citing 14 million new jobs. ",1,0,NPR,economy,1/13/16 2:29,-0.108253175,-0.003521476,-1,-1,-1,public,2
90,102391,Obama's Criticism Reveals Multi-Front Campaign Against Trump,President Obama's animated criticism of Donald Trump's comments Tuesday reveals a multi-front campaign against the Republican candidate. ,0,0,NPR,obama,6/14/16 13:34,0,0.029462783,-1,-1,-1,public,13
91,18832,Report: San Diego’s Economy To Remain Sluggish,"San Diego's economy should remain sluggish this year, hurt by the impact of a slowing national economy, according to a forecast scheduled to be released Wednesday by the National University System Institute for Policy Research. ",-1,0,KPBS San Diego,economy,1/20/16 7:28,-0.066291261,-0.294272427,-1,-1,-1,public,7
92,78701,President Obama's Latin America Trip Will Include A Stop In Cuba,"Obama will travel to Cuba in the coming weeks, a senior administration official tells NPR. It will be the first visit by a sitting U.S. president in 88 years. CNN's Patrick Oppmann in Havana has more. ",0,1,NPR,obama,2/18/16 7:53,-0.241837224,-0.067708333,15,0,2,public,7
93,77356,"Flint Is Still a Disaster, But Obama Just Proposed a Giant Cut to ...","President Obama has called Flint, Michigan's water crisis &quot;inexplicable and inexcusable.&quot; But his administration's proposed 2017 budget,",-1,0,Mother Jones,obama,2/10/16 0:00,-0.240570551,0.014731391,139,3,2,public,0
94,58030,Small business won't power economy in near term,Don't look for small business to give the economy a shot of adrenaline anytime soon. A survey by the advocacy group National Federation of,-1,0,Salt Lake Tribune,economy,6/21/16 1:00,0.309359217,-0.083846828,-1,0,1,public,1
95,88425,Obama Spells Out Vision For U.S.-Cuba Relations In Havana Address,President Obama speaks to the Cuban people about the complicated relationship between the U.S. and Cuba. One sign of how that relationship is evolving? A U.S. versus Cuba baseball game. ,0,1,NPR,obama,3/22/16 13:57,-0.036084392,0.03314563,-1,-1,-1,public,13
96,30751,Millions Of Voters Are Sending A Message: Our Economic ...,"But each is appealing to voters who believe that Washington's economic framework is rotten. The candidates want to tear it down, and millions",0,0,NPR,economy,3/11/16 17:20,-0.125,-0.030028248,1446,40,42,public,17
97,89334,Obama Addresses World Leaders At Final Nuclear Security Summit,President Obama has hosted his last summit aimed at grappling with the dangers of loose nukes. NPR takes a look at what has been accomplished at these summits and what work still needs to be done. ,0,1,NPR,obama,4/1/16 13:27,-0.1953125,0.00156002,-1,-1,-1,public,13
98,16609,Inflation? Yellen may let U.S. economy run hot,"Short- and long-term interest rates would drop, resulting in cheaper financing costs that could further stimulate demand in an economy where",-1,0,Salt Lake Tribune,economy,1/14/16 8:40,-0.069097222,0.002161618,0,1,0,public,8
99,85667,LISTEN: Obama Explains His Approach To ISIS In 7 Minutes,"Victor R. Caivano/AP. During a press conference in Argentina, President Obama laid out how his administration is handling the Islamic State.",0,0,NPR,obama,3/23/16 18:02,0,0.002961121,187,3,3,public,18
100,65963,Some Muslim Americans Irritated By Obama's Call For Them To ...,President Obama's request that Muslim Americans help &quot;root out&quot; and confront extremist ideology in their communities is getting mixed,-1,0,NPR,obama,12/8/15 10:44,0.04364602,-0.063646885,2366,123,40,public,10
101,89926,Barack Obama says wind power cheaper in Texas than power from ...,"Barack Obama, exhorting Dallas Democrats during a March 2016 Texas swing, called Republican claims that the country and planet are in",0,1,PolitiFact,obama,4/12/16 21:35,0.037688918,-0.020963137,74,1,2,public,21
102,39887,Donald Trump says China's economic growth is thanks to the United ...,We were curious about Trump's claim that the United States is responsible for China's rapid economic growth. He made the point several times,0,1,PolitiFact,economy,4/4/16 19:41,-0.169600131,0.247610867,8,0,0,public,19
103,87155,"‘It’s Palestine, Not Israel,’ Belgian Hotline Operator Tells Jewish Caller",An operator in Belgium’s federal hotline on the terrorist attacks in Brussels told a Jewish caller that Israel does not exist and is in fact called Palestine. ,-1,1,The Forward,palestine,3/31/16 4:09,-0.273244656,-0.135830982,22,2,0,public,4
104,63810,President Obama Has a Different Job Than President Hollande,"Dana Milbank was unimpressed by the contrast Barack Obama made yesterday during his press conference with French president Fran""""ois",-1,0,Mother Jones,obama,11/25/15 17:04,-0.120659722,-0.234476573,22,1,0,public,17
105,84320,The 'Obama Effect' And Latino Identity: Join Our Twitter Chat,"Last month, we told you that the Code Switch team is embarking on a big reporting project we're calling The Obama Effect. The series",0,0,NPR,obama,3/16/16 20:55,-0.118585412,-0.107377806,48,0,7,public,20
106,18007,"Despite Slower Growth, China's Economy Is Undergoing Major ...","NPR's Robert Siegel interviews Yukon Huang, senior associate in the Asia program of the Carnegie Endowment for International Peace, about",0,0,NPR,economy,1/19/16 22:11,-0.276213586,-0.02795085,23,0,8,public,22
107,65069,"Obama Calls For Gun Control Measures After San Bernardino, Calif., Shooting","President Obama expressed sympathy to the victims' families of the mass shooting in San Bernardino, Calif. He also called for stronger gun background checks and other measures. ",1,0,NPR,obama,12/2/15 19:27,0.037688918,0,29,0,3,public,19
108,90944,Bernie Supporters Are Mostly Disappointed in Obama,Obama didn't run in the truthteller tradition. He ran more in the JFK/Clinton tradition: a young guy bringing the voice of a new generation to the,-1,0,Mother Jones,obama,4/18/16 17:08,-0.188982237,-0.127498184,122,2,0,public,17
109,104628,Obama Answers Critics That He Hasn't Done Enough To Help Black People,Steve Inkeep talks to President Obama about how race relations have evolved during his presidency. The president says you can always find people who feel that &quot;change hasn't happened fast enough.&quot; ,0,0,NPR,obama,6/29/16 2:28,-0.159372731,0.027562296,-1,-1,-1,public,2
110,78702,Here's a List of People Obama Won't Be Appointing to the Supreme ...,"It would, no doubt, cause a complete meltdown on the right. But this is more of a West Wing scenario than an Obama White House possibility.",-1,0,Mother Jones,obama,2/18/16 15:35,0.144337567,-0.096831126,70,3,0,public,15
111,74753,"After Praising Clinton, Obama Holds 'Informal' Meeting With Bernie ...",President Obama had what the White House described as an &quot;informal&quot; meeting with Democratic presidential candidate Bernie Sanders.,0,1,NPR,obama,1/27/16 22:25,-0.041666667,-0.096275149,8,0,2,public,22
