,IDLink,Title,Headline,sentiment,episodic,Source,Topic,PublishDate,SentimentTitle,SentimentHeadline,Facebook,GooglePlus,LinkedIn,status,Hour
33,1101,Microsoft To Add More Cloud Power In Germany,"One day after Microsoft announced it would launch data centers in the U.K. next year, the company is back again to tout its plan to offer cloud",0,0,Fortune,microsoft,11/11/15 16:20,0.270136888,0.102529425,5,9,28,private,16
34,92297,Obama heads to London on mission to persuade UK voters to stay in EU,"U.S. President Barack Obama flies to London on Thursday with a mission: to persuade wavering British voters not to ditch membership of the European Union in a June 23 referendum that Washington fears could weaken the West. Obama is likely to suggest Britons should vote to stay in the bloc to preserve Britain's wealth, its &quot;special relationship&quot; with the United States and the cohesion of the West ",1,0,Reuters via Yahoo! Finance,obama,4/20/16 16:00,-0.06681531,-0.203151127,-1,-1,-1,private,16
35,95613,Panama Papers Go Online As Obama Pushes Global Tax ...,"President Obama and his Treasury Department are pushing the Panama Papers, taking executive action on new transparency and tax evasion",1,1,Forbes,obama,5/9/16 13:41,-0.0625,0.120343936,72,7,38,private,13
36,39216,U.S. Economy Showed Broad Strength in March,"The U.S. economy capped off the first quarter with a strong March as employers continued adding jobs at a healthy pace, factory activity expanded for the first time since last summer and domestic car makers notched their best month of sales in a decade. ",1,1,The Wall Street Journal,economy,4/1/16 10:23,0.132582521,0.19203269,93,3,76,private,10
37,45983,The US economy was weaker than expected in the first quarter,"Together with housing investment, consumers held up the economy in the first three months of this year as weak business spending slowed it",-1,1,Business Insider,economy,4/28/16 14:40,0.103644525,0.049956578,18,0,11,private,14
38,44384,"Microsoft revenue, profit miss estimates","Two of Microsoft's three major businesses showed lower operating profits, led by what Microsoft calls its intelligent cloud division, which includes its Azure cloud-services business as well as traditional server software. &quot;We would have liked to have seen 7 to 9 percent growth,&quot; Dan Morgan, a portfolio manager at Synovus Trust who holdsMicrosoft shares, said of intelligent cloud revenue ",-1,1,Reuters via Yahoo! Finance,microsoft,4/22/16 4:13,-0.111803399,-0.330040122,1,0,0,private,4
39,83276,President Obama and Prime Minister Trudeau: The 'Bromance' That ...,"President Obama will be leaving office in just over 10 months, but it's not stopping him from making new friends on his way out. Case in point",1,0,ABC News,obama,3/11/16 17:15,0.097222222,-0.075586427,44,2,0,private,17
40,84488,Obama letter among first direct mail to Cuba in more than 50 years,The first direct U.S. mail service to Cuba in more than 50 years this week included a personal letter from President Obama to a 76-year-old,1,0,USA TODAY,obama,3/17/16 15:55,0.315738428,0.116443955,218,1,4,private,15
41,36273,The Economy's Role In The Rise Of Donald Trump And Bernie ...,"We are often asked what effect the upcoming election will have on the economy, particularly because of the surprising support in this election",0,1,Forbes,economy,3/25/16 19:40,0.033543137,-0.364900225,23,1,11,private,19
42,78487,Obama's surprise renewal,"Instead of trying to influence the conversation, Obama is the conversation. And for a president who's proved time and again that the best way to",1,0,Politico,obama,2/17/16 1:15,0.024056261,-0.120833333,209,7,3,private,1
43,5678,Expert views - India's economic growth accelerates to 7.4 percent in ...,"&quot;This suggests still a fairly tepid performance in the economy although some of the gains are essentially due to value addition, low commodity",1,1,Reuters,economy,11/30/15 18:08,-0.166666667,0.258192743,24,0,0,private,18
44,91068,Obama: Top Intel Official Reviewing Secret 9/11 Material,"President Barack Obama says the top-ranking U.S. intelligence official is reviewing material in a Sept. 11 report that has been kept secret, and",0,0,ABC News,obama,4/19/16 7:35,0.141736677,-0.076546554,2,0,1,private,7
45,27492,Why is there lack of transparency in China's official economic data?,"BEIJING: With economic growth slowing and China's stock markets in turmoil, the Communist Party and central government are starting to",-1,1,Economic Times,economy,2/27/16 11:00,0,-0.195655948,4,1,1,private,11
46,53843,"Trump, Clinton, Sanders get an 'F' on the economy","The 2016 presidential election is giving new meaning to the political maxim &quot;It's the economy, stupid.&quot; ",-1,1,CNBC,economy,6/2/16 10:38,0.013611111,0.055581081,0,0,0,private,10
47,28689,"TRACK SENSEX, NIFTY LIVE: Who moved my market today","The Fed in its latest summary of the economy said the economy has seen steady expansion since January, but conditions on ground varied.",0,1,Economic Times,economy,3/3/16 5:00,0.164351852,-0.097741132,7,0,0,private,5
48,101076,"Opening to Cuba is 'irreversible,' senior Obama aide says","President Obama's opening to Cuba is irreversible and remaining legislative restrictions on relations between the two countries """""" including a",0,1,Washington Post,obama,6/10/16 0:00,0.029646353,-0.007169242,-1,-1,-1,private,0
49,17060,High Court Will Hear Microsoft Appeal Over Xbox Lawsuit,The Supreme Court will decide whether Microsoft Corp. must face a class action lawsuit by disgruntled owners of the Xbox 360 video-game system who say the console has a design defect that scratches game disks. ,0,1,New York Times,microsoft,1/15/16 13:48,0.189583333,-0.073950997,0,0,0,private,13
50,85871,Obama Claims Power to Make Churches Fund Abortion,The Obama administration is claiming it has the unprecedented power to compel churches to provide abortion-related products and services.,0,0,Breitbart News,obama,3/24/16 14:15,0.048466277,0.076864837,419,11,3,private,14
51,94424,"Obama sips on Flint water, declares it ‘drinkable’","FLINT, Mich. — Showing support for the beleaguered residents of Flint, Michigan, President Barack Obama drank filtered city water on Wednesday to show that it is again safe following a lead-contamination crisis. After officials briefed Obama on the federal government’s response to the contamination, a reporter asked if he would drink the water in a ",1,0,New York Post,obama,5/4/16 13:49,0.066291261,-0.010091896,34,1,0,private,13
52,2556,Dubai Sees Return of Expat Flight as Banks Brace for Bad Loans,"Dubai’s slowing economy, the rout in commodities and strict debt repayment laws are reviving a phenomenon that symbolized the emirate’s crash in 2009: “skips,” or business owners who quietly leave the country to avoid punishment for defaulting on loans. ",-1,1,Bloomberg,economy,11/17/15 2:19,-0.0620717,-0.107715083,140,3,323,private,2
53,103721,President Obama's militant kill list,President Obama's militant kill list doesn't end at Osama bin Laden. Notable targeted killings under President Obama. AFP. Osama bin Laden,-1,1,Los Angeles Times,obama,6/30/16 4:00,0.15428869,0.033823773,70,2,0,private,4
54,71835,"Win, lose or draw: Scoring Obama's State of the Union proposals","For six consecutive years, President Barack Obama used his State of the Union address to call for immigration reform. In three other State of the",0,1,Politico,obama,1/12/16 10:24,0.110972925,0.141354167,117,6,0,private,10
55,64693,"Paris climate conference: Without Congress' support, Obama's ...","President Obama sits with French President Francois Hollande to limit greenhouse gases, President Obama finds himself in a terrible bind.",-1,0,Los Angeles Times,obama,12/1/15 13:06,-0.188982237,-0.232923748,70,0,0,private,13
56,79440,Here's What Most Americans Think About An Obama SCOTUS ...,"U.S. President Barack Obama delivers remarks at the University of Nebraska Omaha arena in Omaha, Nebraska, in this file photo dated",0,1,Daily Caller,obama,2/22/16 22:55,0.0625,0,9,3,0,private,22
57,82287,Obama sings Ray Charles during White House tribute,President Barack Obama showed off his pipes in a PBS special Friday when he led a White House audience in a rendition of Ray Charles' &quot;What'd I Say.&quot; ,0,0,CNN,obama,2/27/16 5:21,-0.063836029,-0.22568198,-1,-1,-1,private,5
58,12408,Microsoft CEO Satya Nadella highlights how Microsft could play in ...,"HYDERABAD: After Facebook, it's Microsoft's turn to pitch for Digital India. During his visit to Hyderabad on Monday, Microsoft Chief Executive",0,0,Economic Times,microsoft,12/28/15 23:20,-0.015738187,0.061373782,31,1,5,private,23
59,14036,Government working on food and fertiliser subsidy reforms ...,"The economy is showing some signs of pickup and the government is trying to maximise disinvestment receipts in the current year, Economic",0,1,Economic Times,economy,1/4/16 23:20,0.132582521,0.053300179,13,2,10,private,23
60,32551,Chinese economy under pressure but data shows activity pickup ...,"At the same briefing, China's Vice Premier Zhang Gaoli said the country's economy still faced downward pressure but that recent data pointed",1,1,CNBC,economy,3/20/16 9:00,-0.041666667,-0.090102684,24,2,3,private,9
61,51231,Eurozone Economy Displaying Mixed Signals,"Though a closely watched survey of business activity pointed to waning economic growth following a strong start to the year, another report",-1,1,ABC News,economy,5/23/16 16:40,0,-0.119925403,5,0,0,private,16
62,292,"Get ready for a ton of Fedspeak (DJIA, SPY, SPX, QQQ, CNY, USO, OIL)","The US economy had a blockbuster October. US companies added a whopping 271,000 jobs during the month, crushing expectations for an increase of 185,000. This helped bring the unemployment rate down to a 7-year low of 5.0% from 5.1% a month ago. Even the U-6 &quot;underemployment&quot; rate tumbled to 9.8% from 10.0%. Importantly, wages jumped with average hourly earnings growing at a 2.5% rate, the ",0,1,Business Insider,economy,11/8/15 13:07,-0.055902143,-0.378927042,27,2,22,private,13
63,104008,"Punchlines: Obama in Canada? Ummm, awkward","A fact like that could make that awkward moment between President Obama, Mexican President Enrique Pena Nieto and Canadian Prime",-1,0,USA TODAY,obama,7/1/16 17:20,-0.204124145,0.012018865,-1,0,0,private,17
64,89528,"'We need an outsider like Trump,' says this two-time Obama voter","He voted for President Obama but has twice been disappointed. This election, the name he is betting on is emblazoned in gold on the Vegas",0,1,Los Angeles Times,obama,4/10/16 9:35,0.075115652,-0.059722222,101,1,0,private,9
65,36113,Alaska's economy braces for oil winners and losers,"In many ways, the Frontier State is a collection of regions and micro economies """""" each with its own constellation of employers and local price",-1,1,CNBC,economy,3/24/16 0:00,-0.088388348,0,11,0,0,private,0
66,25321,"Industrial Production Jumps, Pointing to Resilience in US Economy","""""""We continue to believe that the housing market will be one of the bright spots for the domestic economy in 2016,"""""" said Mark Vitner, a senior",1,1,New York Times,economy,2/17/16 20:40,-0.041666667,-0.055166667,27,2,43,private,20
67,83251,"AT&amp;T, Starwood aim for Cuba deals by Obama's visit: source","The White House hopes Obama's historic March 20-22 trip to the communist-ruled island, the first by a U.S. president in more than 80 years, will",1,0,Reuters,obama,3/11/16 21:34,-0.189443057,-0.177777778,84,8,50,private,21
68,43335,Has our economy become too 'financialized'?,"Over the past several decades, the financial sector has expanded to take up an extremely large slice of the U.S. economy, a trend referred to as",0,1,Washington Post,economy,4/18/16 16:21,0,-0.028466576,19,0,12,private,16
69,61336,What Markets and the Economy Looked Like the Last Time the Pound Was This Low,The U.K. economy has a whole different set of problems today. ,-1,1,Bloomberg,economy,7/5/16 10:27,0.002689572,0.099592921,-1,4,91,private,10
70,87083,Obama looking for 'consensus' pick to Supreme Court,"President Barack Obama is looking for a &quot;consensus candidate&quot; to nominate to the Supreme Court who could gain broad support from Democrats and Republicans, he said in an interview airing Monday on CNN. ",0,1,CNN,obama,3/15/16 14:25,0.32040776,0.237699634,-1,-1,-1,private,14
71,19929,Indonesia's economy to improve in H2 2016 - c.bank gov,Economic growth in Southeast Asia's largest economy has slowed to its weakest pace in six years. &quot;Conditions in Indonesia in the second half,1,1,Reuters,economy,1/27/16 5:20,0.010416667,-0.153093109,0,1,6,private,5
72,65528,President Obama to Address Nation on San Bernardino Shootings ...,"WASHINGTON""""""President Barack Obama will give a rare televised Oval Office address on Sunday to confront fears about the risks of terror",0,0,Wall Street Journal,obama,12/6/15 0:56,0.041666667,-0.274125782,554,9,16,private,0
73,68223,The Latest: Obama to Play Round of Golf at Exclusive Club,"After a morning workout and spending some time at his vacation home in Kailua, President Barack Obama's motorcade has arrived at Mid",0,0,ABC News,obama,12/21/15 23:06,0.003838686,0.199875672,5,0,0,private,23
74,101532,Obama and Clinton Differ on Terror Approach,"WASHINGTON """""" President Obama and Hillary Clinton have been in lock step in denouncing Donald J. Trump's response to the mass",0,1,New York Times,obama,6/16/16 2:27,-0.236227796,-0.104815686,185,5,3,private,2
75,24190,Americans Spending Through Market Slump Bodes Well for Economy,Officials have said future increases will depend on economic data. Though the University of Michigan report's gauge of current conditions fell to,1,1,Bloomberg,economy,2/12/16 16:43,0.041937293,0.039975134,10,1,30,private,16
76,81767,'Colliding Dreams' explores Israel-Palestinian issue with eye on ...,"&quot;Colliding Dreams&quot; is a film of ideas and a film of history, a thorough and engrossing look at the root causes of the tortured relationship between",0,0,Los Angeles Times,palestine,3/4/16 1:35,0.041666667,0.047245559,18,0,5,private,1
77,45434,Is Political Uncertainty Impacting the US Economy?,"Scott Wren, senior global equity strategist at Wells Fargo Investment Institute, discusses the impact of the political uncertainty on the markets,",0,1,Bloomberg,economy,4/27/16 1:29,0,0.047735163,1,0,4,private,1
78,30099,Saudi Arabia is putting the squeeze on Lebanon's economy,&quot;The real danger for Lebanon's economy is if there is a fresh and severe deterioration in relations that prompts the Gulf countries to introduce,-1,1,Business Insider,economy,3/9/16 12:54,0.073784722,-0.395,20,1,23,private,12
79,95213,"Obama says US race relations have improved, but work to be done","Obama, the son of a white mother and African father, told the But Obama noted an area that has not improved in recent decades - the U.S",0,1,Reuters,obama,5/7/16 18:15,0.077431091,-0.347479329,138,17,22,private,18
80,41586,Six triggers that changed the market while you were sleeping,There are growing fears that the 2010s may become Japan's third Lost Decade as PM Abe's Abenomics fails to spark the economy and BoJ is,-1,1,Economic Times,economy,4/12/16 3:41,0,0.025,4,0,1,private,3
81,1628,Italy's economy grows less than expected in third quarter as trade ...,"ROME: Italy's economy grew less than expected in the third quarter, data showed on Friday, pointing to a modest and slowing recovery this",-1,1,Economic Times,economy,11/13/15 9:25,-0.056533377,-0.247610867,1,0,0,private,9
82,35975,Next Bruised by Britain's Ebbing Economy as Clothing Sales Sag,"Next Plc Chief Executive Officer Simon Wolfson said spending on clothing won't be able to escape the U.K.'s slowing economy, cutting his",-1,1,Bloomberg,economy,3/24/16 8:20,-0.197642354,0.034616053,5,1,4,private,8
83,59308,India owns $121.6 billion worth of US government securities,Global economy has been witnessing uneven growth trends amid concerns over the imminent rate hike by the US Federal Reserve and,0,1,Economic Times,economy,6/26/16 7:00,0.088388348,-0.327326835,-1,0,1,private,7
84,17139,UPDATE 1-Canada eyes quick-hit infrastructure projects to revive ...,"&quot;We do plan on balancing the budget at the end of four years, and that will, I expect, come through growth in the economy,&quot; Morneau said.",1,1,Reuters,economy,1/16/16 0:40,0.032407407,0.03428584,2,0,6,private,0
85,61768,Does the FOMC Need More Aggression to Stimulate Economy?,"U.S. shares swung back to gains, while the dollar weakened after minutes of the Federal Reserve's last meeting did little to alter perceptions",0,1,Bloomberg,economy,7/7/16 9:02,0,-0.094832676,-1,0,0,private,9
86,104730,Hillary will remain on the hook — unless Obama pardons her,"And Obama, unlike Comey, would be fully within his powers to make the decision to let Clinton skate. The pardon power is the most",-1,1,New York Post,obama,7/7/16 2:00,0.039528471,0.027982018,29,1,0,private,2
87,85350,Kasich Jabs Trump Over Israeli-Palestinian Conflict: 'We Cannot Be ...,Republican presidential hopeful John Kasich told the nation's most powerful pro-Israel lobbying group today that the United States &quot;cannot be,-1,0,ABC News,palestine,3/21/16 20:55,-0.088939059,-0.05478074,21,3,0,private,20
88,86519,Obama Regrets That 'Tone' of U.S. Politics Has Gotten Worse,"President Obama says he takes """"""some"""""" but not all responsibility for the worsening tone of politics in U.S. during his White House office. Obama",-1,1,Bloomberg,obama,3/29/16 2:15,-0.073610645,-0.417361111,2,0,0,private,2
89,90663,"Obama likely to sit out Democratic primary altogether, White House ...",President Obama is likely to sit out the entire presidential primary season amid concerns about the damage he could do by stepping too soon,-1,1,Los Angeles Times,obama,4/16/16 18:56,-0.096625151,0.063788795,158,8,5,private,18
90,64214,Obama On Planned Parenthood Shooting: 'We Can't Let It Become ...,President Barack Obama released a statement Saturday morning addressing Friday's mass shooting at a Colorado Springs branch of Planned,-1,0,Huffington Post,obama,11/28/15 15:44,0.079056942,-0.114707867,1377,35,2,private,15
91,91821,A virtual museum of his presidency,"When Barack Obama worked as a community organizer amid the bleak industrial decay of Chicago's far South Side during the 1980s, he tried",0,0,Washington Post,obama,4/22/16 15:35,0,-0.123805433,310,5,65,private,15
92,9231,Red-faced Microsoft Tries to Fix Free Storage Snafu,"Microsoft MSFT 0.85% is trying to make amends for last month's decision to pull its offer of unlimited free OneDrive cloud storage. Clearly, given",-1,0,Fortune,microsoft,12/14/15 17:56,-0.175347222,-0.333963346,14,5,23,private,17
93,1665,Microsoft's Xbox survival stunt brings us one step closer to the ...,"I wouldn't have believed it until I saw Microsoft strap eight people onto a billboard in the middle of London for 24 hours, aim snow-cannons at",1,0,The Verge,microsoft,11/13/15 11:09,-0.122488984,-0.061286292,115,44,10,private,11
94,30377,Salesforce Expands Machine-Learning Service to Microsoft Outlook,"Salesforce.com Inc. is taking another step forward in its partnership with Microsoft Corp., expanding integration with the Outlook e-mail program to help sales representatives streamline tasks such as scheduling meetings and responding to messages. ",0,0,Bloomberg,microsoft,3/10/16 5:17,0,0.149305556,7,0,75,private,5
95,71476,This Inventory Of Obama's Dozens Of Executive Actions Frames His ...,President Barack Obama's final-year aspirations as outlined in an earlier-than-usual State of the Union Address will likely showcase executive,0,0,Forbes,obama,1/10/16 19:44,0,0.053300179,18,0,4,private,19
96,70740,"Chastened by immigration, Obama shows restraint on guns","WASHINGTON """""" As executive actions go, President Obama's effort to clamp down on illegal gun sales was relatively restrained. The actions",0,1,USA TODAY,obama,1/6/16 15:24,-0.220970869,0.083852549,90,4,4,private,15
97,70072,"Obama ends Hawaii vacation, flies home",U.S. President Barack Obama flies back to Washington D.C. after spending two weeks of holiday with his family in Hawaii. Rough Cut (no,0,0,Reuters,obama,1/3/16 14:04,0.102062073,0.077495748,4,0,0,private,14
98,14856,"Amid China rout, focus on stocks related to domestic economy","The sell-off is a good time to focus on stocks with a high exposure to the domestic economy. The pace of recovery is uneven, but there is no",-1,1,Economic Times,economy,1/7/16 22:38,0.266817178,-0.17486311,21,2,2,private,22
99,7992,"China November inflation edges up, but deflation risks dog economy","2 economy could be sucked into a Japan-style deflationary trap. With the economy sputtering after years of double-digit growth, analysts predict",-1,1,Reuters,economy,12/9/15 5:16,0.230582746,-0.193213149,18,4,18,private,5
100,61800,Lagarde warns Trump-style protectionism would hit world economy,She added that the uncertainty set off by last month's Brexit vote was already having a much broader impact on the global economy and on the,-1,0,Financial Times,economy,7/7/16 12:30,0.052083333,-0.135183941,-1,0,10,private,12
101,59773,Australian Voters Split Over Economy,"ROCKHAMPTON, Australia—At the intersection of Australia's coal and cattle country, Prime Minister Malcolm Turnbull's election pitch to deliver",0,0,Wall Street Journal,economy,6/28/16 8:40,0,0.124266856,-1,2,4,private,8
102,73569,Palin links son's domestic-violence arrest to Obama's neglect of ...,"Sarah Palin addressed the """"""elephant in the room"""""" at a Tulsa, Oklahoma, rally for Donald Trump on Wednesday, linking her son Track's recent",-1,0,Politico,obama,1/20/16 20:45,0.029646353,0.169417961,1729,18,1,private,20
103,7874,Inside the Slowdown in China's Economy,Bloomberg's Tina Davis reports on the Chinese economy. She speaks on &quot;Bloomberg Markets.&quot; (Source: Bloomberg),-1,1,Bloomberg,economy,12/8/15 18:40,0,0.060633906,1,0,0,private,18
104,2356,Will Euro Zone Economy Remain Resilient After Attacks?,Maisonneuve Global Advisors Founder Virginie Maisonneuve discusses her outlook foir the economy and markets in the wake of the Paris,0,1,Bloomberg,economy,11/16/15 17:06,0,0.020963137,1,0,0,private,17
105,80489,Obama: We Keep Using 'The Full Range Of Our Tools To Go After ...,"President Barack Obama declared, """"""we continue to use the full range of our tools to go after ISIL wherever it tries to take root"""""" during Saturday's",0,1,Breitbart News,obama,2/27/16 15:55,-0.05778127,0.080625522,32,2,2,private,15
106,44155,"Beyonc, 'Lemonade' And The Economy Of Surprise","Singer Beyonce watches during the first half of an NBA basketball game between the Los Angeles Clippers and the Brooklyn Nets, Monday,",0,0,Forbes,economy,4/21/16 22:36,-0.031497039,0.006662522,17,8,1,private,22
107,14910,Downside Risks Loom Over Europe's Economic Prospects in 2016,"As the new year begins, China is rattling the world's financial markets. No longer can the world's second-largest economy be relied upon as a",-1,1,Wall Street Journal,economy,1/8/16 5:01,-0.088388348,-0.079166667,16,1,12,private,5
